value,red,green,blue
0,000,000,000
1,255,000,000
2,255,001,000
3,255,002,000
4,255,003,000
5,255,004,000
6,255,005,000
7,255,006,000
8,255,007,000
9,255,008,000
10,255,009,000
11,255,010,000
12,255,011,000
13,255,012,000
14,255,013,000
15,255,014,000
16,255,015,000
17,255,016,000
18,255,017,000
19,255,018,000
20,255,019,000
21,255,020,000
22,255,021,000
23,255,022,000
24,255,023,000
25,255,024,000
26,255,025,000
27,255,026,000
28,255,027,000
29,255,028,000
30,255,029,000
31,255,030,000
32,255,031,000
33,255,032,000
34,255,033,000
35,255,034,000
36,255,035,000
37,255,036,000
38,255,037,000
39,255,038,000
40,255,039,000
41,255,040,000
42,255,041,000
43,255,042,000
44,255,043,000
45,255,044,000
46,255,045,000
47,255,046,000
48,255,047,000
49,255,048,000
50,255,049,000
51,255,050,000
52,255,051,000
53,255,052,000
54,255,053,000
55,255,054,000
56,255,055,000
57,255,056,000
58,255,057,000
59,255,058,000
60,255,059,000
61,255,060,000
62,255,061,000
63,255,062,000
64,255,063,000
65,255,064,000
66,255,065,000
67,255,066,000
68,255,067,000
69,255,068,000
70,255,069,000
71,255,070,000
72,255,071,000
73,255,072,000
74,255,073,000
75,255,074,000
76,255,075,000
77,255,076,000
78,255,077,000
79,255,078,000
80,255,079,000
81,255,080,000
82,255,081,000
83,255,082,000
84,255,083,000
85,255,084,000
86,255,085,000
87,255,086,000
88,255,087,000
89,255,088,000
90,255,089,000
91,255,090,000
92,255,091,000
93,255,092,000
94,255,093,000
95,255,094,000
96,255,095,000
97,255,096,000
98,255,097,000
99,255,098,000
100,255,099,000
101,255,100,000
102,255,101,000
103,255,102,000
104,255,103,000
105,255,104,000
106,255,105,000
107,255,106,000
108,255,107,000
109,255,108,000
110,255,109,000
111,255,110,000
112,255,111,000
113,255,112,000
114,255,113,000
115,255,114,000
116,255,115,000
117,255,116,000
118,255,117,000
119,255,118,000
120,255,119,000
121,255,120,000
122,255,121,000
123,255,122,000
124,255,123,000
125,255,124,000
126,255,125,000
127,255,126,000
128,255,127,000
129,255,128,000
130,255,129,000
131,255,130,000
132,255,131,000
133,255,132,000
134,255,133,000
135,255,134,000
136,255,135,000
137,255,136,000
138,255,137,000
139,255,138,000
140,255,139,000
141,255,140,000
142,255,141,000
143,255,142,000
144,255,143,000
145,255,144,000
146,255,145,000
147,255,146,000
148,255,147,000
149,255,148,000
150,255,149,000
151,255,150,000
152,255,151,000
153,255,152,000
154,255,153,000
155,255,154,000
156,255,155,000
157,255,156,000
158,255,157,000
159,255,158,000
160,255,159,000
161,255,160,000
162,255,161,000
163,255,162,000
164,255,163,000
165,255,164,000
166,255,165,000
167,255,166,000
168,255,167,000
169,255,168,000
170,255,169,000
171,255,170,000
172,255,171,000
173,255,172,000
174,255,173,000
175,255,174,000
176,255,175,000
177,255,176,000
178,255,177,000
179,255,178,000
180,255,179,000
181,255,180,000
182,255,181,000
183,255,182,000
184,255,183,000
185,255,184,000
186,255,185,000
187,255,186,000
188,255,187,000
189,255,188,000
190,255,189,000
191,255,190,000
192,255,191,000
193,255,192,000
194,255,193,000
195,255,194,000
196,255,195,000
197,255,196,000
198,255,197,000
199,255,198,000
200,255,199,000
201,255,200,000
202,255,201,000
203,255,202,000
204,255,203,000
205,255,204,000
206,255,205,000
207,255,206,000
208,255,207,000
209,255,208,000
210,255,209,000
211,255,210,000
212,255,211,000
213,255,212,000
214,255,213,000
215,255,214,000
216,255,215,000
217,255,216,000
218,255,217,000
219,255,218,000
220,255,219,000
221,255,220,000
222,255,221,000
223,255,222,000
224,255,223,000
225,255,224,000
226,255,225,000
227,255,226,000
228,255,227,000
229,255,228,000
230,255,229,000
231,255,230,000
232,255,231,000
233,255,232,000
234,255,233,000
235,255,234,000
236,255,235,000
237,255,236,000
238,255,237,000
239,255,238,000
240,255,239,000
241,255,240,000
242,255,241,000
243,255,242,000
244,255,243,000
245,255,244,000
246,255,245,000
247,255,246,000
248,255,247,000
249,255,248,000
250,255,249,000
251,255,250,000
252,255,251,000
253,255,252,000
254,255,253,000
255,255,254,000
256,255,255,000
257,254,255,000
258,253,255,000
259,252,255,000
260,251,255,000
261,250,255,000
262,249,255,000
